id,buyerName,lenderName,address,city,saleDate,saleValue,loanAmount
1,STORMSEND RENTAL LLC,RCN CAPITAL LLC,5603 PURDUE AVE,BALTIMORE,2025-06-30,236000,165200
2,DBC CHS 6 LLC,RFLF 4 LLC,952 PRINCETON TER,GLEN BURNIE,2025-06-30,286000,317400
3,COMPASSIONATE HOME HEALTH RESIDENTIAL SERVICE,GREENBOX LOANS INC,615 LONG WALL DR,REISTERSTOWN,2025-06-30,750000,562500
4,RENEW HOMES LLC,REMARK PROPERTIES LLC,1231 POPLAR AVE,HALETHORPE,2025-06-30,273000,295000
5,EHB MARYLAND LLC,COMMERCIAL LENDING LLC,2824 SCHUBERT DR,SILVER SPRING,2025-06-30,445000,400000
6,JOELS INVESTMENT LLC,HAPPY CAPITAL MANAGEMENT LLC,6422 INLET ST,NEW CARROLLTON,2025-06-30,310000,230000
7,BUTTS PROPERTIES LLC,JARDINE JEFFREY,1522 DUAL HWY,HAGERSTOWN,2025-06-30,240500,250000
8,RENTAL AA HOMES LLC,AMERITRUST MTG CORPORATION,11328 GUM POINT RD,BERLIN,2025-06-30,645000,483750
9,LAWS PROPERTIES LLC,KIAVI FUNDING INC,3511 DEVONSHIRE DR,BALTIMORE,2025-06-27,220000,198000
10,1106 MERIDENE DRIVE LLC,A&D MORTGAGE LLC,1106 MERIDENE DR,BALTIMORE,2025-06-27,255000,204000
11,KELLAR BROWN HOLDINGS LLC,KILLARNEY HOLDINGS LLC,6930 GOUGH ST,BALTIMORE,2025-06-27,115000,177000
12,SHELBY COMPANY LLC,BREEZEBLOCK CAPITAL LLC,4831 BEAUFORT AVE,BALTIMORE,2025-06-27,57500,77000
13,FALCON RPI LLC,ARCHWEST FUNDING LLC,7304 PARK HEIGHTS AVE APT C,PIKESVILLE,2025-06-27,122000,97600
14,REI EQUITIES LLC,450 EAST MAIN LLC,5339 KENWOOD AVE,BALTIMORE,2025-06-27,85000,200000
15,ALL FORE MANAGEMENT LLC,PROSPERITY HOME MORTGAGE LLC,110 STULL CT,THURMONT,2025-06-27,300000,225000
16,GRANSBERRY & ASSOCIATES LLC,VELOCITY COMMERCIAL CAP LLC,1631 CARRIAGE HOUSE TER # 1631-B,SILVER SPRING,2025-06-27,280000,210000
17,MELVERN ST LLC,JOHN MARSHALL BANK,6003 MELVERN DR,BETHESDA,2025-06-27,775000,1465000
18,VENUS PROPERTIES LLC,FUNDING FLIPS LLC,17303 NEWTON CT,UPPER MARLBORO,2025-06-27,306000,247248
19,FAB5 ASSET MANAGEMENT LLC,FORTY TWO HOLDINGS LLC,3341 HUNTLEY SQUARE DR # 3341,TEMPLE HILLS,2025-06-27,110000,110000
20,GRAYSON ENTERPRISES LLC,AMERICAN NHBRD MTG ACCEPTANCE,36029 CENTER AVE,CHAPTICO,2025-06-27,224900,179920
21,SRSH REALTY LLC,ABL RPC RESID CR ACQUISITION L,1 LEROY ST,HAGERSTOWN,2025-06-27,180000,144000
22,IBETH HOMES INVESTMENTS LLC,TRIUS LNDG PARTNERS REIT 1 LLC,17502 YORK RD,HAGERSTOWN,2025-06-27,225000,204750
23,METRIX-PROPERTIES LLC,BURKE & HERBERT BANK & TR CO,122 N CANNON AVE,HAGERSTOWN,2025-06-27,240000,180000
24,METRIX-PROPERTIES LLC,BURKE & HERBERT BANK & TR CO,124 N CANNON AVE,HAGERSTOWN,2025-06-27,240000,180000
25,OLANI REALTY LLC,COMMERCIAL LENDER LLC,1109 SHAWNEE AVE,SALISBURY,2025-06-27,120000,160000
26,OLD YORK FAMILY CORP,FREEDOM FEDERAL CREDIT UNION,4027 OLD YORK RD,BALTIMORE,2025-06-27,145000,101500
27,SINGH REALTY LLC,CAPITAL BANK NA,2510 E MONUMENT ST,BALTIMORE,2025-06-27,233200,175000
